filename,width,height,class,xmin,ymin,xmax,ymax
1-fps-2_00125_jpeg_jpg.rf.57fb222db7641bcf609afb1dd6aae0f9.jpg,398,224,player,282,163,298,197
1-fps-2_00005_jpeg_jpg.rf.017542df0a9b465349d4bb286d6ee3f9.jpg,398,224,referee,40,100,53,126
yt1s-com---Resume-Liverpool-01-Burnley-Premier-League-J18-fps-2_00061_jpeg_jpg.rf.127954ec6ae281b97a7fe3ee3d29f62a.jpg,1280,720,player,465,200,514,299
1-fps-2_00275_jpeg_jpg.rf.9768196d8136b827b101e32275a35c33.jpg,398,224,player,106,155,126,194
yt1s-com---Resume-Tottenham-20-West-Bromwich-Premier-League-J23_720p-fps-2_00015_jpeg_jpg.rf.b4e355cab3e6d3c88c098e9bcdd0c7df.jpg,1280,720,player,812,339,859,428
yt1s-com---Resume-Liverpool-01-Burnley-Premier-League-J18-fps-2_00051_jpeg_jpg.rf.b9ca8c4e1166f2e8e4a595b2ad56a0f3.jpg,1280,720,player,860,272,918,354
1-fps-2_00002_jpeg_jpg.rf.a98431cc3adc463f14c49c8959890926.jpg,398,224,player,126,36,138,53
1-fps-2_00275_jpeg_jpg.rf.9768196d8136b827b101e32275a35c33.jpg,398,224,football,290,94,299,103
1-fps-2_00019_jpeg_jpg.rf.c01cacd63b91d9c5dd6f3bcdf52c0f81.jpg,398,224,player,284,96,300,119
1-fps-2_00190_jpeg_jpg.rf.7c34e796b39b60186a7785459d8ef391.jpg,398,224,referee,201,85,216,116
1-fps-2_00283_jpeg_jpg.rf.fd632edb32d63c535b90395df1279f96.jpg,398,224,player,182,82,195,109
1-fps-2_00200_jpeg_jpg.rf.2bee9e339b5750cc867417e5ece82949.jpg,398,224,player,208,96,218,116
1-fps-2_00010_jpeg_jpg.rf.ba94afc303dd8b3a06544a7dc067e18d.jpg,398,224,player,14,70,25,88
yt1s-com---Resume-Tottenham-20-West-Bromwich-Premier-League-J23_720p-fps-2_00045_jpeg_jpg.rf.48653772a7df35c2b1b91efe83a4b92b.jpg,1280,720,player,1121,570,1183,680
1-fps-2_00212_jpeg_jpg.rf.6f2838e67867943fd86218e3607a4e0b.jpg,398,224,player,199,56,213,78
1-fps-2_00050_jpeg_jpg.rf.89bddfad50db90e527015aa8cfa3d39a.jpg,398,224,player,232,45,250,68
yt1s-com---Resume-Tottenham-20-West-Bromwich-Premier-League-J23_720p-fps-2_00014_jpeg_jpg.rf.b805b6eae83e7894549e79c57997e3f4.jpg,1280,720,player,716,530,764,629
yt1s-com---Resume-Liverpool-14-Manchester-City-Premier-League-J23-fps-2_00015_jpeg_jpg.rf.ba5b7f304c395e4dda9c720f1a9b2757.jpg,1280,720,player,269,423,309,522
yt1s-com---Resume-Liverpool-14-Manchester-City-Premier-League-J23-fps-2_00030_jpeg_jpg.rf.170972b796ca2e08fb4d3d2aac2a6dde.jpg,1280,720,player,534,232,572,309
1-fps-2_00044_jpeg_jpg.rf.58da8590e17687dd05c556d4a2a29fb2.jpg,398,224,player,338,99,355,131
1-fps-2_00190_jpeg_jpg.rf.7c34e796b39b60186a7785459d8ef391.jpg,398,224,player,243,59,257,88
1-fps-2_00192_jpeg_jpg.rf.b038ef05a1ed48a5e0d0e619b91e0995.jpg,398,224,player,0,161,14,198
1-fps-2_00039_jpeg_jpg.rf.7f5fce9b6ea640dc66714dc5f95a00a5.jpg,398,224,player,323,69,336,96
1-fps-2_00037_jpeg_jpg.rf.2c4ec602731dbddca0c7f3b948daa160.jpg,398,224,player,377,36,388,62
1-fps-2_00272_jpeg_jpg.rf.498a00d49bfc2420c235f7ca6a76f3f6.jpg,398,224,football,303,99,313,108
